sourceid,dstid,hod,ride time
544,5,22,22.811500000000002
302,240,21,7.022666666666667
278,99,16,21.643666666666665
720,775,18,13.059666666666667
599,125,9,49.684999999999995
611,397,18,28.011666666666667
364,300,21,9.856
813,618,14,43.375
516,344,19,31.733333333333334
591,444,1,18.720833333333335
409,540,7,3.6533333333333333
777,745,6,12.633833333333333
135,278,0,13.496
663,305,3,15.915333333333333
626,678,11,17.3465
727,817,13,26.920333333333335
137,275,0,12.427833333333332
576,383,10,38.13883333333333
722,760,4,2.6510000000000002
682,734,13,36.85033333333333
412,337,12,37.674499999999995
569,742,16,26.5215
791,430,6,55.734
644,462,5,22.18166666666667
434,438,10,32.950833333333335
654,716,23,11.566
210,367,22,16.6
408,186,17,37.9855
136,619,13,36.864333333333335
710,737,10,23.926499999999997
315,770,23,41.4215
278,8,22,43.875
463,413,15,73.5
672,599,5,10.331333333333333
470,465,7,63.232166666666664
443,654,6,16.431666666666665
688,835,13,27.194833333333335
605,576,20,3.372333333333333
721,409,8,48.314166666666665
349,242,21,29.052333333333333
738,826,12,102.83333333333333
405,80,16,48.381
464,310,1,17.924500000000002
615,497,18,12.549666666666667
113,774,19,95.66966666666667
14,802,6,24.836000000000002
476,114,0,24.511833333333335
531,363,18,23.983166666666666
155,115,6,10.684166666666666
776,669,23,15.886833333333334
373,117,11,43.184
691,558,8,32.333333333333336
18,366,16,51.346333333333334
684,639,13,16.842499999999998
434,375,16,41.62516666666667
114,57,15,10.899166666666668
66,59,9,21.423166666666667
800,546,14,38.9515
597,539,22,17.783333333333335
649,305,12,32.8485
513,604,3,8.947166666666668
464,397,10,11.364666666666666
274,473,17,45.06483333333333
653,629,21,5.525
772,630,6,18.224833333333333
623,807,21,24.158333333333335
383,414,23,9.185833333333333
556,667,3,15.918666666666667
605,399,17,90.937
359,234,15,17.907
497,591,21,24.8155
682,822,16,37.20333333333333
432,715,17,69.50416666666666
648,734,11,20.33566666666667
163,315,5,9.827333333333334
531,616,22,18.479666666666667
632,621,12,40.23716666666667
500,543,18,53.5795
160,125,20,18.118
114,21,19,109.26849999999999
628,546,8,18.2465
734,730,18,45.848499999999994
156,762,17,122.82916666666667
545,448,18,18.212833333333332
778,396,3,21.977833333333333
12,275,11,87.60716666666667
622,729,6,25.379666666666665
818,807,0,2.225
500,807,6,19.732666666666667
651,698,1,5.529166666666667
831,562,9,54.24166666666667
694,542,4,13.783333333333333
381,273,5,22.231833333333334
135,269,21,18.354333333333333
330,329,5,0.9691666666666666
780,787,17,29.424333333333333
403,542,19,54.198
100,308,17,75.96666666666667
467,36,14,33.2555
412,449,12,14.7605
512,544,23,4.734833333333333
713,734,17,5.4735000000000005
589,777,20,32.89183333333333
305,641,15,38.978500000000004
697,565,12,25.534333333333333
543,344,9,20.932833333333335
500,573,17,56.41116666666667
311,766,11,113.38333333333334
680,692,10,43.767500000000005
592,631,21,33.23883333333333
147,298,3,20.919500000000003
814,673,22,116.35116666666666
188,120,1,5.8445
678,658,7,14.207166666666666
279,593,14,56.0
818,542,9,128.00266666666667
590,242,8,33.80583333333333
308,501,16,43.03633333333333
547,404,18,56.92733333333333
372,467,18,34.96516666666666
476,446,23,18.912166666666668
403,507,21,25.6385
264,307,13,31.2625
396,535,13,36.71383333333333
117,697,18,75.61566666666666
374,332,10,38.9
648,469,5,18.7695
737,759,14,19.568833333333334
216,279,19,10.767
594,651,16,17.941166666666668
135,689,23,38.1805
658,629,9,12.0295
332,531,17,30.22533333333333
211,114,20,23.311666666666667
31,618,7,41.6
763,819,20,21.504
333,309,10,31.69816666666667
209,100,17,34.84066666666667
612,178,9,31.2715
313,774,19,63.410333333333334
342,601,23,23.213666666666665
707,734,15,27.401
179,437,17,42.98350000000001
735,179,21,25.423166666666667
814,785,21,13.511333333333333
526,398,16,29.504166666666666
592,154,4,20.079
668,277,23,26.934166666666666
274,277,17,23.6445
673,778,20,35.09166666666667
135,372,5,20.805333333333333
623,640,17,46.766666666666666
346,376,12,16.7465
526,644,11,38.61016666666667
820,669,10,37.65833333333333
184,98,19,20.139666666666667
771,754,2,6.576333333333333
433,512,4,28.698
680,644,8,100.18766666666667
514,341,11,70.66133333333333
655,248,22,22.727500000000003
368,548,22,50.16766666666667
772,464,12,45.57116666666666
686,836,7,22.265666666666668
781,212,19,55.66566666666667
566,469,5,11.229333333333333
118,496,17,86.86766666666668
758,822,23,14.681666666666667
560,584,21,18.296666666666667
674,508,19,22.216
153,238,17,18.730999999999998
622,710,20,17.364833333333333
651,546,2,11.929333333333334
568,692,5,15.894499999999999
163,282,0,11.425
431,213,20,28.9575
589,187,13,44.8065
768,728,18,19.817666666666664
414,368,17,296.2538333333333
679,404,13,53.413000000000004
512,442,12,18.601666666666667
246,755,13,59.701
59,599,18,82.58099999999999
734,774,12,7.3945
787,756,3,3.933333333333333
707,301,12,140.575
759,566,20,29.031
701,657,17,10.424000000000001
571,785,22,23.72683333333333
618,837,11,28.074166666666667
543,745,17,72.859
408,569,9,12.980500000000001
600,765,20,43.915
513,518,0,21.587
673,364,1,17.923000000000002
567,714,20,27.068166666666666
516,216,5,24.289166666666667
708,775,19,38.118
618,471,13,22.854833333333332
9,599,5,11.212666666666667
814,668,22,21.254166666666666
717,547,17,43.93816666666667
240,138,22,29.532
239,529,21,37.31966666666666
465,735,4,12.458666666666666
125,714,19,75.38433333333334
180,591,17,98.34766666666665
338,451,14,54.55
399,814,1,24.517999999999997
376,308,20,10.076166666666667
460,273,8,40.26483333333333
558,675,22,24.806166666666666
468,782,6,23.412166666666668
35,136,18,33.3615
10,508,17,33.57216666666667
667,714,22,7.991333333333333
643,96,21,43.963499999999996
763,784,16,25.101666666666667
649,774,5,14.624
115,814,21,63.53783333333333
675,618,9,40.28216666666666
188,406,21,19.723333333333336
305,767,14,41.19683333333333
727,181,18,68.72916666666667
113,713,14,115.93599999999999
841,273,5,54.016666666666666
85,309,18,29.464499999999997
682,757,21,17.627166666666668
496,311,13,41.18683333333333
276,279,16,21.273500000000002
410,246,10,24.828166666666668
727,438,20,24.925
438,276,22,25.998
160,417,16,29.940166666666666
427,616,17,40.596000000000004
573,681,19,16.490833333333335
338,787,14,60.1475
546,508,18,29.365333333333336
648,800,16,45.73966666666667
31,126,4,4.537999999999999
736,748,18,37.2245
743,725,16,9.445166666666667
621,760,23,26.141000000000002
83,311,10,26.438166666666667
546,138,8,171.9515
208,412,13,40.75916666666667
207,794,5,23.83083333333333
769,512,9,50.152833333333334
433,13,22,43.05216666666667
374,413,3,12.165666666666668
562,499,12,14.397166666666667
185,530,13,25.089166666666664
598,566,21,10.350999999999999
707,241,23,39.55716666666667
650,833,11,30.041666666666668
538,12,16,63.1025
770,575,22,29.191666666666666
311,371,4,11.167499999999999
648,718,17,19.594333333333335
687,530,22,17.973833333333335
832,736,11,36.95183333333333
698,670,20,11.929833333333333
154,128,14,19.5845
479,713,16,49.3125
500,379,16,1005.8721666666667
561,47,0,30.466666666666665
450,485,15,13.147666666666668
811,835,10,20.203166666666668
114,81,5,12.5395
156,696,10,153.20216666666664
125,313,13,33.82716666666667
547,605,22,10.134166666666665
158,590,18,97.86333333333333
275,373,3,7.7175
31,430,14,23.07633333333333
804,837,14,12.818333333333333
729,467,23,17.378333333333334
497,307,3,17.208333333333332
156,759,0,35.105000000000004
374,548,14,37.477833333333336
380,370,2,21.1255
675,734,19,13.717833333333335
301,669,14,44.044999999999995
809,139,15,75.4195
786,753,13,13.5375
655,754,18,26.169500000000003
707,615,20,19.483999999999998
604,10,20,14.836500000000001
741,603,6,10.991166666666667
718,708,11,42.87133333333334
587,762,22,18.555
97,186,11,14.085
713,688,22,13.312000000000001
641,21,8,9.505333333333335
56,216,17,31.583333333333332
150,135,10,36.892
215,188,18,14.791166666666667
832,837,1,1.1368333333333331
347,549,20,20.944666666666667
265,178,13,6.127
401,785,0,19.025333333333332
727,769,19,28.55483333333333
640,556,3,8.413833333333333
109,332,8,35.8715
263,240,9,44.357166666666664
617,828,22,31.922833333333333
475,80,9,48.09533333333333
658,370,1,27.895166666666668
79,432,17,67.75283333333333
598,543,2,6.111666666666666
561,545,10,54.016666666666666
110,397,11,30.307333333333336
643,756,1,14.169166666666666
309,579,22,37.64083333333333
598,651,1,2.7180000000000004
440,708,22,52.7945
24,635,15,15.313666666666668
96,234,14,41.936166666666665
538,715,13,28.065333333333335
662,177,9,37.588166666666666
769,719,9,64.35316666666667
279,178,14,28.108833333333333
461,728,13,23.4745
118,643,11,57.45333333333333
814,183,4,28.78083333333333
528,499,18,13.190166666666666
337,772,4,18.1675
545,434,17,62.35566666666667
376,380,8,17.312666666666665
403,606,2,34.440666666666665
179,178,10,9.585
379,396,15,55.464666666666666
51,644,22,42.048
588,688,23,8.5945
418,238,1,30.577833333333334
735,562,16,18.878833333333333
464,366,12,20.533333333333335
605,313,9,35.45633333333333
595,617,6,12.256333333333334
279,58,16,37.265166666666666
759,713,13,31.254666666666665
299,149,14,11.936833333333334
692,770,7,13.9485
346,802,12,55.7785
717,774,15,15.845
674,332,23,22.870333333333335
347,440,11,34.51383333333333
216,241,16,18.127
618,52,5,24.853333333333335
657,698,23,11.306833333333334
804,634,17,41.150999999999996
836,731,1,13.2605
555,583,21,3.3145000000000002
188,384,16,29.7215
543,548,5,64.99166666666666
184,443,22,39.46666666666667
620,807,5,23.756333333333334
762,587,11,18.7405
725,744,10,2.5795000000000003
241,396,4,14.353333333333333
638,432,1,12.0
544,282,16,46.03516666666667
215,208,9,26.607833333333335
379,280,22,11.7655
115,441,21,38.62833333333333
748,150,22,25.612166666666667
340,47,3,18.08566666666667
127,402,8,65.07783333333333
365,639,21,49.946000000000005
700,157,3,27.118499999999997
777,305,22,31.087833333333332
140,59,20,28.156333333333336
205,818,15,40.05116666666667
765,822,15,26.378666666666668
749,782,8,11.895000000000001
475,443,9,2.3560000000000003
80,674,20,75.26116666666667
315,569,11,35.162666666666674
339,548,4,30.352333333333334
56,76,16,16.565166666666666
120,345,18,33.063
692,266,17,39.15133333333333
601,618,9,41.320166666666665
476,616,20,41.083333333333336
754,177,21,29.053
439,412,13,29.72533333333333
469,118,14,45.90416666666667
731,467,8,32.7555
699,240,5,32.7565
380,156,8,34.93383333333334
712,409,6,49.45
478,695,5,15.041666666666666
735,672,17,18.333833333333335
12,273,6,73.91883333333334
785,587,13,43.334500000000006
817,184,3,29.869666666666667
469,534,13,11.709
712,792,11,19.583333333333332
788,758,10,11.481166666666667
605,5,11,26.096666666666668
425,336,13,36.50933333333333
644,702,16,36.91683333333334
306,209,20,8.617666666666667
607,480,21,15.029166666666667
312,741,11,45.035999999999994
315,629,23,19.25316666666667
686,762,12,11.6615
307,519,17,55.7945
673,783,23,15.1095
413,373,3,18.264333333333333
217,150,22,27.290000000000003
429,495,20,7.913833333333333
666,511,13,43.252833333333335
640,501,11,17.305
83,316,2,18.630999999999997
450,277,22,34.30166666666666
339,155,2,16.711166666666667
715,668,7,23.068166666666666
376,696,20,30.385833333333334
