Week,None,D0,D1,D2,D3,D4,DSCI
2023-03-14,53.47,33.89,11.53,1.11,0.00,0.00,100
2023-03-07,15.82,69.20,10.96,4.02,0.00,0.00,135
2023-02-28,10.94,63.02,19.70,6.34,0.00,0.00,157
2023-02-21,0.07,10.25,74.44,15.24,0.00,0.00,217
2023-02-14,0.07,10.24,74.44,15.24,0.00,0.00,217
2023-02-07,0.07,10.24,74.44,15.24,0.00,0.00,217
2023-01-31,0.07,8.30,76.56,15.07,0.00,0.00,221
2023-01-24,0.07,8.30,76.56,15.07,0.00,0.00,221
2023-01-17,0.07,6.74,72.94,20.25,0.00,0.00,234
2023-01-10,0.00,0.87,71.51,27.61,0.01,0.00,242
2023-01-03,0.00,0.52,43.52,37.92,18.04,0.00,296
2022-12-27,0.00,0.52,30.78,43.52,21.84,3.34,321
2022-12-20,0.00,0.52,30.78,43.52,21.84,3.34,321
2022-12-13,0.00,0.52,30.78,43.52,21.84,3.34,321
2022-12-06,0.00,0.06,28.89,39.84,24.71,6.50,337
2022-11-29,0.00,0.06,28.89,39.21,25.34,6.50,338
2022-11-22,0.00,0.06,28.89,39.21,25.34,6.50,338
2022-11-15,0.00,0.06,28.89,39.21,25.34,6.50,338
2022-11-08,0.00,0.06,12.27,55.04,24.76,7.87,346
2022-11-01,0.00,0.03,11.86,55.41,24.82,7.87,351
2022-10-25,0.00,0.03,11.86,55.41,24.82,7.87,351
2022-10-18,0.00,0.03,11.86,57.00,23.23,7.87,349
2022-10-11,0.00,0.03,9.80,59.07,23.23,7.87,351
2022-10-04,0.00,0.03,9.78,59.09,23.23,7.87,351
2022-09-27,0.00,0.03,9.75,59.11,23.23,7.87,351
