sourceid,dstid,hod,ride time
584,33,7,11.866000000000001
1013,1116,13,17.799333333333333
884,1190,22,19.348833333333335
211,364,1,1.7235
218,1189,7,42.55883333333334
1048,461,7,26.421166666666668
879,461,11,23.774333333333335
1047,1002,17,36.358333333333334
930,856,6,16.640666666666668
1110,875,22,17.353333333333335
498,856,7,7.9155
508,1120,6,8.208166666666667
200,1048,8,38.00466666666667
615,1095,4,4.522166666666666
1100,457,16,13.323166666666667
1213,140,15,14.645833333333334
360,68,22,8.737833333333333
897,874,6,14.113833333333334
1164,37,6,11.713166666666666
729,1194,0,5.75
713,140,10,28.3
1117,435,13,14.766666666666667
808,809,19,7.000333333333333
252,1042,22,16.7105
182,184,23,12.721499999999999
318,887,0,27.668333333333333
308,518,6,12.402999999999999
363,835,2,14.260666666666667
333,774,23,16.918833333333332
1164,763,9,19.483
1178,52,11,17.416666666666668
1013,1079,21,13.045
886,215,13,21.825
130,320,10,18.926666666666666
1102,1025,19,4.577833333333333
757,903,16,32.62833333333334
1227,906,11,9.7745
1242,1233,20,5.744
1128,1189,15,27.94816666666667
816,1189,17,32.2345
1194,235,13,13.230500000000001
261,487,18,8.141
530,1039,15,3.5541666666666667
294,309,19,35.47383333333333
249,333,15,30.103166666666667
856,776,7,18.691166666666668
1193,747,13,18.5595
459,1041,19,21.702166666666667
740,813,5,9.195166666666667
908,334,1,14.137833333333333
584,586,8,21.698833333333333
837,834,12,9.512166666666667
1227,228,9,7.4351666666666665
654,188,0,3.6521666666666666
496,1190,16,25.268666666666665
366,311,20,10.589833333333333
77,1055,9,18.401
746,861,10,25.038833333333333
713,156,15,14.453666666666667
779,497,7,30.461166666666667
773,151,5,19.4625
500,246,20,11.76
105,82,18,20.686833333333333
1005,46,23,2.3381666666666665
135,1142,22,13.075
1110,216,19,9.0215
906,1104,19,11.664333333333333
1211,762,8,26.174
302,1211,20,17.317999999999998
951,342,23,5.8341666666666665
97,775,22,11.801333333333334
368,816,8,11.180833333333334
365,896,21,19.017833333333332
540,1011,0,16.6595
885,497,5,4.9825
368,1130,16,11.358
1121,863,7,29.278833333333335
