Genre,Publisher,Publication Year,Book Title,User ID,User Location,Age Bin,Rating1,Rating2,Rating3
Science Fiction,"Benson, May and Perry",2017,World.,b49eefea-7e38-4c3d-af7c-877a1de0b0dc,South William,45-54,6,2,4
Science Fiction,"Benson, May and Perry",2017,World.,ab74874f-3430-4fa0-9c24-6dd15fcc3df0,Johnsonberg,18-24,2,5,3
Science Fiction,"Benson, May and Perry",2017,World.,ff48f3fc-03d8-4967-9363-ce33f94411bd,Wongtown,25-34,7,3,4
Science Fiction,"Benson, May and Perry",2017,World.,746a834c-118b-456e-8bc6-53bca3dad0f1,Port Gerald,Under 18,4,2,3
Science Fiction,"Benson, May and Perry",2017,World.,1f3ca49b-c565-4a84-9ce0-f96d88331a49,Christopherport,Under 18,4,5,1
Science Fiction,"Benson, May and Perry",2017,World.,5da8af4c-711d-4a86-88eb-9c3ed749ca8f,Barbaraport,25-34,3,4,2
Fiction,Hernandez and Sons,1987,Figure same.,fdf47cde-b2dc-4734-af00-6bbd6a851248,Port Toddshire,18-24,4,3,3
Fiction,Hernandez and Sons,1987,Figure same.,127e5768-e94a-449b-9e44-6cb1b6de0142,South Kevinburgh,25-34,5,3,4
Science Fiction,Thompson-Alvarado,2011,Another camera cost.,c20f98ec-b601-493c-90d1-73ab7c762895,Port Bryan,35-44,7,3,2
Science Fiction,Thompson-Alvarado,2011,Another camera cost.,1c32d6d4-ebc9-4ff2-b8fa-c1cbf83fa347,Brandyfort,18-24,10,2,1
Science Fiction,Thompson-Alvarado,2011,Another camera cost.,36239fa7-b33f-4693-bb50-3ac2d5695f6c,Halefurt,18-24,8,4,3
Science Fiction,Thompson-Alvarado,2011,Another camera cost.,2cbb645d-f1e4-45ce-a31f-a75cda40b8b6,North Joe,18-24,7,4,4
Science Fiction,Thompson-Alvarado,2011,Another camera cost.,3c225a88-ddb0-443b-81cd-3dec2c1060f1,New Danielle,35-44,10,2,3
Fantasy,Owens PLC,2009,Image expect increase.,69a346f0-eb3c-45d7-b1d4-8539e8bcf71d,New Walterberg,Under 18,5,5,4
Fantasy,Owens PLC,2009,Image expect increase.,7611eb0c-3832-423a-a151-49f83bb60051,Kevinport,Under 18,8,3,4
Fantasy,Owens PLC,2009,Image expect increase.,9b4cff0d-2533-41a6-8f17-786828aa2bbb,West Renee,Under 18,2,4,3
Fantasy,Owens PLC,2009,Image expect increase.,5cf28d3b-3cac-427a-b1bb-ac0d36421d55,Briggstown,25-34,3,4,5
Science Fiction,Snyder-Owens,2005,Note.,e80ab2d8-ab25-4a8d-aae6-888e9a08da32,Lake Bobby,25-34,6,5,5
Science Fiction,Snyder-Owens,2005,Note.,8a134e8b-0624-49ff-8c69-9b3486215ba2,Aaronport,55+,8,5,1
Science Fiction,Snyder-Owens,2005,Note.,e21bc0f2-f8f0-425a-9c8f-b9d8ebacfedc,South Yolandastad,35-44,7,4,3
Science Fiction,Snyder-Owens,2005,Note.,58af21a6-6b74-4b0c-9208-fea2358f16c3,Port Micheleshire,Under 18,10,3,3
Science Fiction,Snyder-Owens,2005,Note.,a4f4899f-4011-4316-b700-17b09f52891d,Bethanyland,25-34,6,1,2
Science Fiction,Snyder-Owens,2005,Note.,47d0e709-8dfe-4caf-91f4-b2828328a301,Port Dominiqueview,Under 18,10,3,3
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,fb48cd74-cde9-404d-8b96-f74e4a5b7bdf,West Christinefurt,55+,9,4,4
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,a7c4ff54-8ea0-4c28-ab53-744dbfb5c448,North Sarah,Under 18,7,3,2
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,7ef12556-a2a9-4c0f-8daa-c8abc5c55702,West Ronald,18-24,9,4,1
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,4c0438f6-f8dc-4d6c-b53a-194764980ca8,New Mariachester,45-54,7,4,1
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,cc6e45fa-d2be-400c-8f42-0579d643d2b2,Johnsonside,55+,8,4,1
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,3f371e08-d58f-4bd2-aa67-225dea0845ec,East Dana,Under 18,2,2,1
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,4ff78ef6-8293-44bd-9128-76c7f3316cc8,West Jennifer,18-24,7,5,2
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,ec254062-fd27-4603-959d-5376b6a9e1e5,Harrisville,18-24,6,4,4
Mystery,"Johnson, Williams and Hall",2015,Door accept concern say.,ded0f9f2-38db-4c82-8829-76c2efad31c5,West Denisemouth,25-34,9,2,3
Fantasy,"Patrick, Johnson and Harrison",1976,Understand support improve.,3b91e7db-021e-42ba-9c5f-124bd0357829,Port Cassandrafort,45-54,4,3,2
Fantasy,"Patrick, Johnson and Harrison",1976,Understand support improve.,b3b5912f-773a-4b00-8adc-58738f8ef922,North Michaelfort,25-34,7,3,2
Fantasy,"Patrick, Johnson and Harrison",1976,Understand support improve.,59b7bfef-89d7-45a1-b0ad-450b968af06d,Cannonburgh,Under 18,5,1,4
Fiction,Jenkins Inc,1968,Task learn beat.,0c8c7c93-1156-457a-868d-7f0fc1fc5af7,South Ericfurt,25-34,10,2,3
Fiction,Jenkins Inc,1968,Task learn beat.,272d795a-280e-46df-bdda-dcc578add905,East Joel,45-54,7,4,3
Fiction,Jenkins Inc,1968,Task learn beat.,b47751ec-cab1-48e1-8d8e-14b1f6cca6c8,Churchside,25-34,3,2,1
Fiction,Jenkins Inc,1968,Task learn beat.,d8a0123a-0768-478a-95e6-9aead0fb16a8,Bradleyburgh,Under 18,2,1,5
Fiction,Jenkins Inc,1968,Task learn beat.,bb1389c8-a181-4dab-90fa-481d613a0030,Lake Edward,45-54,6,3,5
Fiction,Jenkins Inc,1968,Task learn beat.,95e4844b-600d-4e82-b378-96af71b6bed0,New Jennifer,25-34,9,1,4
