id,id_HIT,id_assignment,id_worker,module,section,time_landed,time_instruction_shown,time_consent_shown,time_consented,category_question,id_question,id_question_serial,id_article,correct_answer,time_question_begin,time_yesNo_prior_shown,answer_yesNo_prior,time_yesNo_prior_answered,answer_correct,time_yesNo_prior_spent,confidence_prior,time_article_shown,time_article_finish,time_article_spent,answer_yesNo_after,time_yesNo_after_shown,time_yesNo_after_answered,time_yesNo_after_spent,confidence_YesNo_after,content_relatedness,time_content_related_shown,time_content_related_answered,time_content_related_spent,author_position,time_author_position_shown,time_author_position_answered,time_author_position_spent,cc1_accuracy,cc2_completeness,cc3_authority,cc4_usefulness,cc5_accessibility,time_quality_cc_shown,time_quality_cc_answered,time_quality_cc_spent,quality_single,time_quality_single_spent,author_fname,author_fname_ethnicity,author_lname,nudge_words,confidence_evaluation,affiliation,affiliation_tier,affiliation_location,time_question_end,time_question_spent,time_session_spent,completion_code,statuses,time_question_shown
1997,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,landing,2021-05-23 17:09:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,consent,,,2021-05-23 17:09:56,2021-05-23 17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3H8DHMCCW9BV8V9VXW1X1M6AJ2FKDZ,A3L4JI1S352HB8,,landing,2021-05-23 17:09:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,cold,7,1,136,,2021-05-23 17:10:06,,No,2021-05-23 17:10:32,,,6,2021-05-23 17:10:06,2021-05-23 17:10:06,0,No,,,,,7,,,,No,,,,4,6,4,4,6,,,,,,,,,,,,,,2021-05-23 17:11:50,104,,,,
2001,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,cold,7,2,161,,2021-05-23 17:11:50,,No,2021-05-23 17:12:03,,,7,2021-05-23 17:11:50,2021-05-23 17:11:50,0,Yes,,,,,4,,,,Yes,,,,4,3,4,4,4,,,,,,,,,,,,,,2021-05-23 17:12:51,61,,,,
2002,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,atkins,1,3,103,,2021-05-23 17:12:51,,No,2021-05-23 17:13:29,,,1,2021-05-23 17:12:51,2021-05-23 17:12:51,0,No,,,,,6,,,,No,,,,4,6,4,5,5,,,,,,,,,,,,,,2021-05-23 17:14:26,95,,,,
2003,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,atkins,1,4,201,,2021-05-23 17:14:26,,No,2021-05-23 17:14:34,,,6,2021-05-23 17:14:26,2021-05-23 17:14:26,0,Yes,,,,,6,,,,Yes,,,,4,5,4,5,5,,,,,,,,,,,,,,2021-05-23 17:15:12,46,,,,
2004,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,breast-cancer,5,5,182,,2021-05-23 17:15:12,,Yes,2021-05-23 17:15:21,,,6,2021-05-23 17:15:12,2021-05-23 17:15:12,0,Yes,,,,,2,,,,Irrelevant,,,,4,4,4,4,4,,,,,,,,,,,,,,2021-05-23 17:16:12,60,,,,
2005,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3PS7W85Z8Z2I8OM1FPANGHAGBURT9X,A49A0FF6ZXYDU,,evaluate,,,,,breast-cancer,5,6,70,,2021-05-23 17:16:12,,Yes,2021-05-23 17:16:17,,,6,2021-05-23 17:16:12,2021-05-23 17:16:12,0,Yes,,,,,7,,,,Yes,,,,4,7,4,4,7,,,,,,,,,,,,,,2021-05-23 17:17:48,96,,,,
2006,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,landing,2021-05-23 17:11:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,consent,,,2021-05-23 17:11:10,2021-05-23 17:11:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,atkins,1,1,108,,2021-05-23 17:11:23,,Yes,2021-05-23 17:11:36,,,6,2021-05-23 17:11:23,2021-05-23 17:11:23,0,Yes,,,,,6,,,,Conflict,,,,1,3,4,3,5,,,,,,,,,,,,,,2021-05-23 17:12:09,46,,,,
2009,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,atkins,1,2,105,,2021-05-23 17:12:09,,Yes,2021-05-23 17:12:28,,,5,2021-05-23 17:12:09,2021-05-23 17:12:09,0,No,,,,,6,,,,Irrelevant,,,,4,5,6,4,5,,,,,,,,,,,,,,2021-05-23 17:14:38,149,,,,
2010,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,cold,7,3,129,,2021-05-23 17:14:38,,No,2021-05-23 17:14:47,,,5,2021-05-23 17:14:38,2021-05-23 17:14:38,0,No,,,,,6,,,,Conflict,,,,3,5,4,6,5,,,,,,,,,,,,,,2021-05-23 17:16:21,103,,,,
2011,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,cold,7,4,136,,2021-05-23 17:16:21,,No,2021-05-23 17:16:42,,,7,2021-05-23 17:16:21,2021-05-23 17:16:21,0,No,,,,,6,,,,Conflict,,,,3,5,4,3,6,,,,,,,,,,,,,,2021-05-23 17:17:14,53,,,,
2012,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,breast-cancer,5,5,189,,2021-05-23 17:17:14,,Yes,2021-05-23 17:17:22,,,5,2021-05-23 17:17:14,2021-05-23 17:17:14,0,No,,,,,5,,,,Conflict,,,,3,6,7,7,3,,,,,,,,,,,,,,2021-05-23 17:18:00,46,,,,
2013,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3300DTYQT2HMB4LQ6WWE3Q04IK8EQE,A3F8IELT6K6WUM,,evaluate,,,,,breast-cancer,5,6,61,,2021-05-23 17:18:00,,No,2021-05-23 17:18:06,,,6,2021-05-23 17:18:00,2021-05-23 17:18:00,0,Yes,,,,,7,,,,Conflict,,,,3,4,6,5,4,,,,,,,,,,,,,,2021-05-23 17:18:28,28,,,,
2014,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,landing,2021-05-23 17:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,consent,,,2021-05-23 17:13:00,2021-05-23 17:13:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,cold,7,1,135,,2021-05-23 17:13:25,,Yes,2021-05-23 17:13:58,,,6,2021-05-23 17:13:25,2021-05-23 17:13:25,0,Yes,,,,,6,,,,No,,,,6,7,7,5,6,,,,,,,,,,,,,,2021-05-23 17:15:58,153,,,,
2017,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,cold,7,2,126,,2021-05-23 17:15:58,,Yes,2021-05-23 17:16:05,,,6,2021-05-23 17:15:58,2021-05-23 17:15:58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,atkins,1,3,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,atkins,1,4,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,breast-cancer,5,5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,3VAR3R6G1P12HRYJEGIAMB9ISGSO8H,AEZ1X2R844R9G,,evaluate,,,,,breast-cancer,5,6,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3IZVJEBJ6AKOPXV9X8RRTBO4CYPZ6T,34MAJL3QP4NCC1IVJF85HWV2V3143W,A6E3QAJIQOFBQ,,landing,2021-05-23 17:14:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
